SerialNo,Season,Name,Role,Price,Team
490,2019,Lockie Ferguson ,Bowler,16000000.0, Kolkata Knight Riders
491,2019,Joe Denly ,Batsman,10000000.0, Kolkata Knight Riders
492,2019,Harry Gurney,Bowler,7500000.0, Kolkata Knight Riders
493,2019,Nikhil Shankar Naik,Wicket Keeper,2000000.0, Kolkata Knight Riders
494,2019,Shrikant Mundhe,All-Rounder,2000000.0, Kolkata Knight Riders
495,2019,Prithvi Raj Yarra,Bowler,2000000.0, Kolkata Knight Riders
496,2019,Anrich Nortje,Bowler,2000000.0, Kolkata Knight Riders
497,2019,Barinder Singh Sran,Bowler,34000000.0, Mumbai Indians
498,2019,Lasith Malinga,Bowler,20000000.0, Mumbai Indians
499,2019,Yuvraj Singh,All-Rounder,10000000.0, Mumbai Indians
500,2019,Anmolpreet Singh,Batsman,8000000.0, Mumbai Indians
501,2019,Pankaj Jaswal,All-Rounder,2000000.0, Mumbai Indians
502,2019,Rasikh Dar,Bowler,2000000.0, Mumbai Indians
503,2019,Jaydev Unadkat,Bowler,84000000.0, Rajasthan Royals
504,2019,Varun Aaron,Bowler,24000000.0, Rajasthan Royals
505,2019,Oshane Thomas ,Bowler,11000000.0, Rajasthan Royals
506,2019,Ashton Turner,All-Rounder,5000000.0, Rajasthan Royals
507,2019,Liam Livingstone,All-Rounder,5000000.0, Rajasthan Royals
508,2019,Shashank Singh,All-Rounder,3000000.0, Rajasthan Royals
509,2019,Riyan Parag,All-Rounder,2000000.0, Rajasthan Royals
510,2019,Manan Vohra,Batsman,2000000.0, Rajasthan Royals
511,2019,Shubham Ranjane,All-Rounder,2000000.0, Rajasthan Royals
512,2019,Shivam Dube,All-Rounder,50000000.0, Royal Challengers Bangalore
513,2019,Shimron Hetmyer,Batsman,42000000.0, Royal Challengers Bangalore
514,2019,Akshdeep Nath,All-Rounder,36000000.0, Royal Challengers Bangalore
515,2019,Prayas Ray Barman,All-Rounder,15000000.0, Royal Challengers Bangalore
516,2019,Himmat Singh,Batsman,6500000.0, Royal Challengers Bangalore
517,2019,Gurkeerat Singh Mann,All-Rounder,5000000.0, Royal Challengers Bangalore
518,2019,Heinrich Klaasen,Wicket Keeper,5000000.0, Royal Challengers Bangalore
519,2019,Devdutt Padikkal,Batsman,2000000.0, Royal Challengers Bangalore
520,2019,Milind Kumar,All-Rounder,2000000.0, Royal Challengers Bangalore
521,2019,Jonny Bairstow ,Wicket Keeper,22000000.0, Sunrisers Hyderabad
522,2019,Wriddhiman Saha,Wicket Keeper,12000000.0, Sunrisers Hyderabad
523,2019,Martin Guptill,Batsman,10000000.0, Sunrisers Hyderabad
524,2018,Glenn Maxwell,All-Rounder,90000000.0,Delhi Daredevils
525,2018,Kagiso Rabada,Bowler,42000000.0,Delhi Daredevils
526,2018,Amit Mishra,Bowler,40000000.0,Delhi Daredevils
527,2018,Shahbaz Nadeem,Bowler,32000000.0,Delhi Daredevils
528,2018,Vijay Shankar,All-Rounder,32000000.0,Delhi Daredevils
529,2018,Rahul Tewatia,All-Rounder,30000000.0,Delhi Daredevils
530,2018,Mohammad Shami,Bowler,30000000.0,Delhi Daredevils
531,2018,Gautam Gambhir,Batsman,28000000.0,Delhi Daredevils
532,2018,Trent Boult,Bowler,22000000.0,Delhi Daredevils
533,2018,Colin Munro,All-Rounder,19000000.0,Delhi Daredevils
534,2018,Daniel Christian,All-Rounder,15000000.0,Delhi Daredevils
535,2018,Jason Roy,Batsman,15000000.0,Delhi Daredevils
536,2018,Naman Ojha,Wicket Keeper,14000000.0,Delhi Daredevils
537,2018,Prithvi Shaw,Batsman,12000000.0,Delhi Daredevils
538,2018,Gurkeerat Singh Mann,All-Rounder,7500000.0,Delhi Daredevils
539,2018,Avesh Khan,Bowler,7000000.0,Delhi Daredevils
540,2018,Abhishek Sharma,All-Rounder,5500000.0,Delhi Daredevils
541,2018,Jayant Yadav,All-Rounder,5000000.0,Delhi Daredevils
542,2018,Harshal Patel,All-Rounder,2000000.0,Delhi Daredevils
543,2018,Manjot Kalra,Batsman,2000000.0,Delhi Daredevils
544,2018,Sandeep Lamichhane,Bowler,2000000.0,Delhi Daredevils
545,2018,Sayan Ghosh,Bowler,2000000.0,Delhi Daredevils
546,2018,KL Rahul,Batsman,110000000.0,Kings XI Punjab
547,2018,Ravichandran Ashwin,All-Rounder,76000000.0,Kings XI Punjab
548,2018,Andrew Tye,Bowler,72000000.0,Kings XI Punjab
549,2018,Aaron Finch,Batsman,62000000.0,Kings XI Punjab
550,2018,Marcus Stoinis,All-Rounder,62000000.0,Kings XI Punjab
551,2018,Karun Nair,Batsman,56000000.0,Kings XI Punjab
552,2018,Mujeeb Zadran,Bowler,40000000.0,Kings XI Punjab
553,2018,Ankit Singh Rajpoot,Bowler,30000000.0,Kings XI Punjab
554,2018,David Miller,Batsman,30000000.0,Kings XI Punjab
555,2018,Mohit Sharma,Bowler,24000000.0,Kings XI Punjab
556,2018,Barinder Singh Sran,Bowler,22000000.0,Kings XI Punjab
557,2018,Yuvraj Singh,All-Rounder,20000000.0,Kings XI Punjab
558,2018,Christopher Gayle,Batsman,20000000.0,Kings XI Punjab
559,2018,Ben Dwarshuis,Bowler,14000000.0,Kings XI Punjab
560,2018,Akshdeep Nath,All-Rounder,10000000.0,Kings XI Punjab
561,2018,Manoj Tiwary,Batsman,10000000.0,Kings XI Punjab
562,2018,Mayank Agarwal,Batsman,10000000.0,Kings XI Punjab
563,2018,Manzoor Dar,All-Rounder,2000000.0,Kings XI Punjab
564,2018,Pardeep Sahu,Bowler,2000000.0,Kings XI Punjab
565,2018,Mayank Dagar,All-Rounder,2000000.0,Kings XI Punjab
566,2018,Chris Lynn,Batsman,96000000.0, Kolkata Knight Riders
567,2018,Mitchell Starc,Bowler,94000000.0, Kolkata Knight Riders
568,2018,Dinesh Karthik,Wicket Keeper,74000000.0, Kolkata Knight Riders
569,2018,Robin Uthappa,Wicket Keeper,64000000.0, Kolkata Knight Riders
570,2018,Kuldeep Singh Yadav,Bowler,58000000.0, Kolkata Knight Riders
571,2018,Piyush Chawla,Bowler,42000000.0, Kolkata Knight Riders
572,2018,Nitish Rana,All-Rounder,34000000.0, Kolkata Knight Riders
573,2018,Kamlesh Nagarkoti,All-Rounder,32000000.0, Kolkata Knight Riders
574,2018,Shivam Mavi,All-Rounder,30000000.0, Kolkata Knight Riders
575,2018,Mitchell Johnson,Bowler,20000000.0, Kolkata Knight Riders
576,2018,Shubman Gill,Batsman,18000000.0, Kolkata Knight Riders
